OBJECTID,WELLWIDTH,WELLLENGTH,PAREAWIDTH,LOWWELL,SPECIES,STNAME,Location 1
13573,4,9,0,None,Liquidambar styraciflua,87TH AV,"1769
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13569,0,0,3,None,Aesculus carnea,78TH AV,"1475
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13579,0,0,4,None,Sophora japonica,82ND AV,"2400
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13581,0,0,5,None,Acacia melanoxylon,84TH AV,"2301
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13559,0,0,5,None,Magnolia grandiflora,81ST AV,"1629
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13580,2,4,0,Low,Cinnamomum camphora,DEERWOOD AV,"7500
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13560,2,2,0,Low,Magnolia grandiflora,73RD AV,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13572,4,8,0,Low,Pyrus kawakami,HOLLY ST,"7500
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13576,0,0,6,None,Ulmus parvifolia,85TH AV,"2250
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13553,0,0,4,None,Celtis sp,COLUMBIAN DR,"3709
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13566,0,0,4,None,Magnolia grandiflora,81ST AV,"1940
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13578,4,6,0,Low,Sophora japonica,82ND AV,"1909
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13577,2,2,0,Low,Melaleuca sp,ARTHUR ST,"7539
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13555,0,0,4,None,Populus nigra Italica,87TH AV,"2057
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13565,0,0,3,None,Pyrus kawakami,87TH AV,"2016
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13568,0,0,2.5,None,Ficus benjamina,LOCKWOOD ST,"7845
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13574,0,0,6,None,Ulmus parvifolia,85TH AV,"2256
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13588,0,0,4,None,Liquidambar styraciflua,77TH AV,"2540
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
6829,0,0,7,None,Ulmus americana,"BIRCH CT
(49.35807231215533, -95.09350767317716)","5890
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13583,0,0,4,None,Platanus acerifolia,81ST AV,"1001
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13610,0,0,4,None,Other,ALCALA AV,"9560
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13585,2.5,3,0,High,Robinia hybrid,ARTHUR ST,"7836
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13598,0,0,3,None,Prunus cerasifera/blireiana,STERLING DR,"7550
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13584,0,0,5,None,Pyrus kawakami,83RD AV,"1958
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13587,3,4,0,Low,Pyrus kawakami,MACARTHUR BL,"7540
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13601,0,0,5,None,Pyrus kawakami,79TH AV,"2630
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13607,0,0,3,None,Prunus cerasifera/blireiana,VALENTINE ST,"7614
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13609,0,0,2,None,Lagerstroemia indica,82ND AV,"3218
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13586,0,0,6,None,Malus floribunda,85TH AV,"1676
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13608,0,0,4,None,Betula pendula,90TH AV,"2301
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13594,0,0,6,None,Liquidambar styraciflua,75TH AV,"2658
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13597,0,0,3,None,Liquidambar styraciflua,STERLING DR,"7632
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13604,0,0,3,None,Pyrus kawakami,MACARTHUR BL,"7890
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13596,0,0,3,None,Stump,HILLSIDE ST,"7861
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13592,0,0,6,None,Laurus nobilis `Saratoga',84TH AV,"2314
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13589,0,0,5,None,Pyrus kawakami,79TH AV,"2600
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13605,3,6,0,None,Pyrus kawakami,STEARNS AV,"9500
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13599,0,0,6,None,Pyrus calleryana cvs,74TH AV,"2631
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13595,2,7,0,Low,Koelreuteria sp,83RD AV,"2514
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13606,0,0,4,None,Crataegus phaenopyrum,MIRASOL AV,"3408
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13593,2,3,0,None,Fraxinus o. `Raywood',MACARTHUR BL,"8215
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13636,3,3,0,None,Unknown,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13631,0,0,3,None,Prunus cerasifera/blireiana,CIRCLE HILL DR,"7577
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13613,0,0,10,None,Eucalyptus pulverulenta,OAK KNOLL BL,"3417
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13637,2,6,0,Low,Acer sp,ELWOOD AV,"420
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13639,0,0,0,None,Platanus acerifolia,ROSEMOUNT RD,"858
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13626,0,0,3,None,Prunus cerasifera/blireiana,GREENLY DR,"7574
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13638,0,0,2.5,None,Cercis sp,VERMONT ST,"840
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13629,2,2,0,Low,Pyrus kawakami,MACARTHUR BL,"7974
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13632,4.5,4.5,0,Moderate,Quercus sp,YORK ST,"811
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13630,0,0,3,None,Prunus cerasifera/blireiana,COLUMBIAN DR,"3728
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13611,0,0,3,None,Fraxinus o. `Raywood',MACARTHUR BL,"8720
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13616,3,3,0,Low,Liquidambar styraciflua,98TH AV,"3101
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13625,0,0,6,None,Pyrus kawakami,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13614,2,3,0,Low,Pyrus calleryana cvs,MACARTHUR BL,"7626
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13622,0,0,3,None,Lagerstroemia indica,STERLING DR,"7510
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13612,0,0,0,None,Prunus cerasifera/blireiana,CIRCLE HILL DR,"7585
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13621,0,0,2,None,Pyrus calleryana cvs,MACARTHUR BL,"7862
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13635,3,3,0,None,Liquidambar styraciflua,VERNON ST,"670
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13623,4,4,0,Low,Unknown,76TH AV,"2707
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13634,0,0,2,None,Prunus sp,FAIRBANKS AV,"545
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13624,0,0,6,None,Acacia melanoxylon,DOWLING ST,"8324
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13627,3,4,0,Low,Prunus cerasifera/blireiana,MACARTHUR BL,"7521
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13628,0,0,3,None,Prunus cerasifera/blireiana,VALENTINE ST,"7547
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13617,0,0,10,None,Washingtonia robusta,90TH AV,"2427
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13653,0,0,6,None,Quercus sp,MANDANA BL,"772
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13648,6,6,0,Low,Platanus acerifolia,LAKE SHORE AV,"3808
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13654,0,0,3,None,Unknown,FAIRBANKS AV,"505
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13667,0,0,6,None,Robinia pseudoacacia,SANTA RAY AV,"704
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13656,0,0,3,None,Unknown,BALFOUR AV,"3831
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13646,0,0,3.5,None,Prunus cerasifera/blireiana,WARFIELD AV,"832
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13668,0,0,3,None,Acer rubrum,VALLE VISTA AV,"552
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13640,0,0,3,None,Other,WALAVISTA AV,"678
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13663,4,4,0,Low,Unknown,PORTAL AV,"826
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13661,0,0,2,None,Liquidambar styraciflua,VERNON ST,"551
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13643,0,0,3,None,Unknown,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13641,0,0,0,None,Prunus serrulata,CALMAR AV,"715
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13657,0,0,2,None,Platanus acerifolia,BROOKWOOD PL,"661
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13662,0,0,3,None,Prunus sp,BOULEVARD WY,"647
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13647,0,0,6,None,Prunus serrulata,LAKE SHORE AV,"4166
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13642,0,0,2,None,Platanus acerifolia,ROSEMOUNT RD,"796
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13655,0,0,3,None,Betula sp,MONTE VISTA AV,"287
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13652,2,3,0,None,Unknown,GRAND AV,"3700
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13666,0,0,3,None,Magnolia grandiflora,WICKSON AV,"476
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13649,0,0,2,None,Pyrus calleryana cvs,LONGRIDGE RD,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13644,0,0,4,None,Pyrus calleryana cvs,ASHMOUNT AV,"1137
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13651,0,0,3,None,Other,WICKSON AV,"492
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13658,0,0,3,None,Grevillea robusta,WALKER AV,"1060
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13650,3.5,3,0,Low,Prunus cerasifera/blireiana,WALKER AV,"875
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13695,4,4,0,None,Platanus acerifolia,WALKER AV,"727
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13678,0,0,4,None,Cinnamomum camphora,WELDON AV,"498
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13696,0,0,3,None,Prunus cerasifera/blireiana,KENMORE AV,"501
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13684,0,0,5.5,None,Platanus acerifolia,LAKE SHORE AV,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13676,0,0,3,None,Platanus acerifolia,BROOKWOOD PL,"649
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13683,0,0,3,None,Platanus acerifolia,VIONA AV,"637
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13671,0,0,3,None,Liquidambar styraciflua,TRESTLE GLEN RD,"651
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13674,0,0,4,None,Alnus rhombifolia,WARFIELD AV,"1087
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13675,3,3,0,High,Other,GLEN VIEW AV,"525
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13673,3,3,0,Low,Pyrus kawakami,GRAND AV,"3650
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13677,0,0,4,None,Cinnamomum camphora,WELDON AV,"498
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13693,0,0,2,None,Platanus acerifolia,ROSEMOUNT RD,"877
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13690,0,0,6,None,Cinnamomum camphora,CALMAR AV,"723
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13688,0,0,2,None,Dodonaea sp,YORK ST,"927
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13681,0,0,6,None,Quercus sp,MANDANA BL,"696
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13692,3,3,0,None,Pyrus kawakami,GRAND AV,"3308
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13672,0,0,2,None,Malus floribunda,TRESTLE GLEN RD,"651
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13669,0,0,4,None,Platanus acerifolia,KINGSTON AV,"775
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13685,0,0,3.5,None,Lagerstroemia indica,LAKE SHORE AV,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13687,0,0,2,None,Liquidambar styraciflua,MOSS AV,"7
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13697,0,0,3,None,Shrub,BALFOUR AV,"4233
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13691,0,0,4,None,Ginkgo biloba,JEAN ST,"481
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13679,0,0,2,None,Liquidambar styraciflua,OAKLAND AV,"535
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13680,0,0,3,None,Unknown,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13694,4,4,0,None,Platanus acerifolia,WALKER AV,"727
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
2455,0,0,3,None,Liquidambar styraciflua,25TH AV,"2231
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
2919,3,5,0,None,Lagerstroemia indica,FOOTHILL BL,"3300
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13726,0,0,3,None,Prunus cerasifera/blireiana,FAIRBANKS AV,"550
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13714,0,0,5,None,Unknown,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13719,0,0,4,None,Quercus sp,BALFOUR AV,"4243
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13716,0,0,2,None,Platanus acerifolia,LONGRIDGE RD,"733
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13710,0,0,4,None,Malus sp,WALAVISTA AV,"751
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13721,0,0,3,None,Lagerstroemia indica,ARIMO AV,"686
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13709,0,0,5,None,Platanus acerifolia,LAKE SHORE AV,"3875
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13725,0,0,2,None,Prunus sp,VALLE VISTA AV,"618
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13715,0,0,2,None,Jacaranda acutifolia,ROSAL AV,"557
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13724,4,8,0,None,Acer sp,JEAN ST,"555
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13713,4,4,0,High,Eucalyptus ficifolia,GLEN VIEW AV,"515
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13698,0,0,4,None,Pyrus calleryana cvs,BALFOUR AV,"3709
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13699,0,0,5,None,Liquidambar styraciflua,ELWOOD AV,"332
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13722,2,2,0,Low,Podocarpus gracilior,SANTA CLARA AV,"195
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13702,0,0,3,None,Pyrus calleryana cvs,HARRISON ST,"3530
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13701,0,0,6,None,Pyrus calleryana cvs,BALFOUR AV,"3740
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13703,0,0,6,None,Shrub,WALKER AV,"810
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13708,0,0,0,None,Cinnamomum camphora,SUNNYHILLS RD,"884
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13723,0,0,2,None,Liquidambar styraciflua,MOSS AV,"95
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13707,0,0,3,None,Trachycarpus fortunei,CALMAR AV,"716
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13706,3,3,0,Moderate,Pyrus kawakami,GRAND AV,"3640
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13711,3,4,0,Low,Podocarpus gracilior,HARRISON ST,"3792
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13712,4,6,0,None,Liquidambar styraciflua,LAKE SHORE AV,"3250
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
4858,0,0,0,None,Magnolia grandiflora,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
3836,0,0,5,None,Crataegus phaenopyrum,OAK KNOLL BL,"3548
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
11010,0,0,4,None,Pyrus calleryana cvs,54TH ST,"848
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13748,0,0,3,None,Liquidambar styraciflua,ARIMO AV,"707
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13755,4,9,0,High,Liquidambar styraciflua,OAKLAND AV,"669
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13753,1.5,1.5,0,None,Morus alba,MANDANA BL,"486
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13736,3,3,0,None,Unknown,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13742,0,0,4,None,Lagerstroemia indica,WALKER AV,"771
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13729,3,3,0,None,Liquidambar styraciflua,MANDANA BL,"525
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13746,0,0,6,None,Liquidambar styraciflua,MANDANA BL,"754
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13732,0,0,4,None,Unknown,None,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13744,0,0,3,None,Unknown,FLORADA AV,"91
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13739,0,0,3,None,Liquidambar styraciflua,KENMORE AV,"522
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13747,0,0,2,None,Acer palmatum,ROSAL AV,"529
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13752,0,0,3,None,Pistacia chinensis,HARRISON ST,"3799
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13751,0,0,2.5,None,Cupressus sempervirens,PRINCE ST,"544
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13733,3,4,0,Moderate,Eucalyptus sp,HARRISON ST,"3750
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13731,0,0,4,None,Sapium sebiferum,WALAVISTA AV,"665
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13728,5,6,0,None,Platanus acerifolia,CRESCENT ST,"455
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13741,3,3,0,None,Prunus cerasifera/blireiana,FAIRBANKS AV,"533
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13735,0,0,3,None,Pyrus kawakami,CHETWOOD ST,"655
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13745,0,0,2,None,Pyrus calleryana cvs,TRESTLE GLEN RD,"707
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13750,0,0,4,None,Prunus cerasifera/blireiana,CROFTON AV,"564
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13738,2,2,0,Low,Crataegus phaenopyrum,OAKLAND AV,"748
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13737,1,4,0,Moderate,Unknown,ASHMOUNT AV,"1002
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13779,0,0,2,None,Liquidambar styraciflua,MOSS AV,"33
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13784,0,0,2,None,Platanus acerifolia,ROSEMOUNT RD,"806
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13771,3,3,0,None,Prunus cerasifera/blireiana,FAIRBANKS AV,"514
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13760,0,0,4,None,Pyrus calleryana cvs,ASHMOUNT AV,"1153
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13785,0,0,2,None,Gleditsia triacanthos,ROSAL AV,"550
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13766,0,0,9,None,Eucalyptus sp,CALMAR AV,"743
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13782,0,0,3,None,Pistacia chinensis,VALLE VISTA AV,"560
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13765,0,0,2,None,Liquidambar styraciflua,MARIPOSA AV,"624
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13763,2,3,0,Moderate,Crataegus phaenopyrum,MONTE VISTA AV,"300
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13762,5,4,0,High,Platanus acerifolia,ROSAL AV,"737
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13761,5,4,0,High,Platanus acerifolia,ROSAL AV,"737
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13757,4,10,0,None,Liquidambar styraciflua,LAKE SHORE AV,"3247
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13758,0,0,3,None,Fraxinus o. `Raywood',TRESTLE GLEN RD,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13769,0,0,4,None,Liquidambar styraciflua,BALFOUR AV,"4117
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13778,0,0,3.5,None,Lagerstroemia indica,LAKE SHORE AV,"0
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13770,3,3,0,None,Pyrus kawakami,GRAND AV,"3421
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13759,0,0,6,None,Shrub,BOULEVARD WY,"470
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13772,0,0,0,None,Schinus terebinthefolia,SANTA RAY AV,"728
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13767,0,0,3,None,Magnolia soulangiana,MOSS AV,"19
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13777,0,0,3,None,Pyrus kawakami,SANTA RAY AV,"609
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13764,0,0,6,None,Acacia melanoxylon,LAKE SHORE AV,"3917
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13768,0,0,3,None,Liquidambar styraciflua,ARIMO AV,"711
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13781,0,0,3,None,Cinnamomum camphora,ELWOOD AV,"451
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13780,0,0,4,None,Platanus acerifolia,ARDMORE AV,"1070
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13796,2,2,0,Low,Pyrus kawakami,GRAND AV,"3353
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13786,0,0,6,None,Crataegus phaenopyrum,WALKER AV,"810
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13804,0,0,2,None,Unknown,FLORADA AV,"80
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13799,0,0,3,None,Quercus sp,BALFOUR AV,"3700
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13791,0,0,10,None,Unknown,WAWONA AV,"904
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13810,4,4,0,None,Platanus acerifolia,WALKER AV,"717
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13814,0,0,3.5,None,Pistacia chinensis,JEAN ST,"568
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13790,0,0,4,None,Quercus agrifolia,BALFOUR AV,"4243
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13802,0,0,4,None,Platanus acerifolia,KINGSTON AV,"777
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13806,0,0,6,None,Lagerstroemia indica,LAKE SHORE AV,"4128
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13812,0,0,0,None,Magnolia soulangiana,LAKE SHORE AV,"4072
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13800,0,0,3,None,Shrub,FAIRBANKS AV,"490
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13809,0,0,5,None,Pittosporum undulatum,LAKE SHORE AV,"3821
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13792,0,0,3,None,Lagerstroemia indica,WALKER AV,"766
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13797,0,0,4,None,Fraxinus o. `Raywood',WALAVISTA AV,"655
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13798,0,0,3,None,Eucalyptus polyanthemos,PALOMA AV,"809
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13788,2,2,0,Low,Pyrus kawakami,GRAND AV,"3331
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13789,0,0,5,None,Platanus acerifolia,LONGRIDGE RD,"855
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13808,1,2,0,None,Prunus sp,ERIE ST,"908
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13793,3,3.5,0,Low,Crataegus phaenopyrum,HARRISON ST,"3945
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13805,0,0,4,None,Prunus cerasifera/blireiana,BRIGHTON AV,"3876
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13803,0,0,3,None,Unknown,LAKE SHORE AV,"3788
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13811,0,0,4,None,Lagerstroemia indica,HIGH ST,"3844
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13813,0,0,6,None,Prunus cerasifera/blireiana,MANDANA BL,"662
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13839,3,3,0,Moderate,Pyrus kawakami,GRAND AV,"3527
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13831,0,0,6,None,Liquidambar styraciflua,CALMAR AV,"747
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13843,2,3,0,Moderate,Pyrus kawakami,SANTA RAY AV,"663
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
6831,3,3,0,Moderate,Eucalyptus polyanthemos,LOCKSLEY AV,"5317
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13833,0,0,6,None,Quercus sp,MANDANA BL,"652
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13829,0,0,6,None,Quercus sp,MANDANA BL,"748
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13824,0,0,3,None,Acer sp,CLARENDON CR,"1175
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13830,0,0,3,None,Prunus cerasifera/blireiana,BOULEVARD WY,"617
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13816,3,3,0,None,Pyrus kawakami,GRAND AV,"3320
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
13840,0,0,3,None,Quercus sp,MANDANA BL,"1072
Oakland, Ca
(37.80505999961946, -122.27301999967312)"
